ClienteID,NombreCliente,Edad,Ciudad,ProductoID,NombreProducto,CategoríaProducto,FechaCompra,Cantidad,PrecioUnitario,TotalVenta
C00001,Mtro. Modesto Hurtado,31,Nueva Paraguay,P485,Magnesio,Suplemento,2025-04-05,5,70.39,351.95
C00002,Hugo Marisela Trujillo,76,San Luis Manuel los bajos,P398,Cetirizina,Antihistamínico,2024-12-18,1,116.89,116.89
C00003,Rosa Eugenia Portillo,18,San Aida los altos,P353,Diclofenaco,Analgésico,2024-06-21,2,152.11,304.22
C00004,Alfredo Regalado,42,San Luis Manuel los bajos,P349,Fexofenadina,Antihistamínico,2024-08-21,5,37.37,186.85
C00005,Beatriz Irene Toro Serrano,35,San Cristian los altos,P284,Ranitidina,Antiácido,2024-10-07,3,66.73,200.19
C00006,Berta Marcela Quintanilla,85,Vieja República Federal Democrática de Nepal,P470,Diclofenaco,Analgésico,2024-06-07,4,46.7,186.8
C00007,Sr(a). Germán Negrón,21,San Yuridia de la Montaña,P372,Ibuprofeno,Analgésico,2025-03-19,4,18.47,73.88
C00008,Asunción Hernán Lozada,33,San Timoteo los bajos,P192,Desloratadina,Antihistamínico,2024-08-18,5,130.58,652.9000000000001
C00009,Ing. Luis Manuel Padilla,51,San Karina los altos,P158,Azitromicina,Antibiótico,2025-05-19,3,17.79,53.37
C00010,Emilia Tórrez Pantoja,18,San Yuridia de la Montaña,P435,Pantoprazol,Antiácido,2024-05-06,2,64.92,129.84
C00011,Sr(a). Olivia Valenzuela,49,San Flavio los altos,P142,Vitamina D,Suplemento,2025-05-23,4,166.5,666.0
C00012,Graciela Valladares Berríos,45,Nueva Israel,P406,Glibenclamida,Antidiabético,2024-11-14,2,165.98,331.96
C00013,Amador Hugo Bermúdez Loya,34,Nueva Mauricio,P392,Amoxicilina,Antibiótico,2024-12-14,5,43.43,217.15
C00014,Celia Meléndez,40,San Fabiola los altos,P343,Glibenclamida,Antidiabético,2025-08-05,4,18.75,75.0
C00015,Dalia Mondragón Aragón,84,San Leonardo los altos,P296,Ranitidina,Antiácido,2025-05-01,3,58.6,175.8
C00016,María del Carmen Norma Samaniego Ríos,62,San José Manuél los altos,P454,Omeprazol,Antiácido,2024-09-13,1,122.87,122.87
C00017,José María Benavides Escobar,39,Nueva República Dominicana,P176,Naproxeno,Analgésico,2025-04-18,1,91.97,91.97
C00018,Mtro. Vicente Dávila,75,San Javier los altos,P389,Fexofenadina,Antihistamínico,2024-12-28,5,178.45,892.25
C00019,Mariano Delgado,33,Nueva Nueva Zelandia,P444,Omeprazol,Antiácido,2025-05-30,4,119.65,478.6
C00020,Pamela López Nieto,38,San Ángel los altos,P211,Pantoprazol,Antiácido,2025-02-05,2,118.33,236.66
C00021,Dr. Anel Delgado,76,Vieja Letonia,P296,Metformina,Antidiabético,2024-12-26,2,67.3,134.6
C00022,Ing. María Eugenia Casas,20,San Carlos de la Montaña,P380,Loratadina,Antihistamínico,2025-01-01,1,112.33,112.33
C00023,Victoria Carmen Peña,21,San Octavio los altos,P294,Glibenclamida,Antidiabético,2025-01-25,5,193.73,968.65
C00024,Silvia Sepúlveda Loera,19,San Diego los altos,P324,Loratadina,Antihistamínico,2025-02-27,2,73.05,146.1
C00025,Sara Toro,52,San Linda los altos,P037,Sitagliptina,Antidiabético,2024-05-06,2,54.14,108.28
C00026,José Estela García,61,Nueva Australia,P421,Pioglitazona,Antidiabético,2024-04-11,4,92.88,371.52
C00027,Delia Octavio Riojas,42,San Renato de la Montaña,P378,Cefalexina,Antibiótico,2024-09-23,2,134.73,269.46
C00028,Luis Manuel Osorio Amaya,23,San José Eduardo de la Montaña,P335,Cefalexina,Antibiótico,2025-08-03,5,68.83,344.15
C00029,Mtro. Ruby Salcido,36,Vieja Mauritania,P388,Ciprofloxacino,Antibiótico,2025-03-29,2,11.68,23.36
C00030,Humberto Vanegas,84,Nueva Colombia,P228,Paracetamol,Analgésico,2024-05-10,2,182.17,364.34
C00031,Oswaldo Galván,25,San Elisa los altos,P106,Diclofenaco,Analgésico,2025-03-31,4,186.88,747.52
C00032,Cristobal Concepción Zedillo Gallardo,40,Nueva Vietman,P062,Loratadina,Antihistamínico,2024-05-06,1,126.05,126.05
C00033,José Luis Armando Quezada,30,San Mauro los altos,P217,Azitromicina,Antibiótico,2024-09-29,1,43.98,43.98
C00034,Timoteo Carlota Vargas Escobedo,63,Nueva Lituania,P056,Lansoprazol,Antiácido,2025-04-24,1,89.15,89.15
C00035,Inés Balderas,74,San Marcela los bajos,P184,Azitromicina,Antibiótico,2025-03-13,4,103.7,414.8
C00036,Dr. María del Carmen de la Rosa,47,Vieja Angola,P141,Glibenclamida,Antidiabético,2024-08-23,5,53.41,267.04999999999995
C00037,Isaac Báez Marroquín,40,San Eric de la Montaña,P108,Paracetamol,Analgésico,2025-01-22,2,23.89,47.78
C00038,Emiliano Julio Martínez Merino,21,Vieja Malta,P398,Magnesio,Suplemento,2025-03-05,3,148.49,445.47
C00039,Javier Ortiz,73,San Martín los altos,P254,Pioglitazona,Antidiabético,2025-01-13,2,17.47,34.94
C00040,Reina Luisa Campos,37,Vieja Bhután,P306,Loratadina,Antihistamínico,2024-08-31,2,164.82,329.64
C00041,Dr. Hilda Mena,40,San Norma los bajos,P158,Ibuprofeno,Analgésico,2024-02-12,5,52.27,261.35
C00042,Aurelio Guillermina León,31,Nueva Guyana,P268,Sitagliptina,Antidiabético,2025-04-30,5,103.59,517.95
C00043,Micaela Campos,32,Vieja Bolivia,P338,Vitamina C,Suplemento,2024-03-07,5,116.18,580.9000000000001
C00044,Lic. Anel Bueno,24,San Nicolás los bajos,P061,Lansoprazol,Antiácido,2024-11-09,5,83.36,416.8
C00045,Dr. Marcela Esquibel,64,Nueva Arabia Saudita,P481,Cetirizina,Antihistamínico,2024-05-09,4,28.11,112.44
C00046,Alta  Gracia Cristina Morales,42,Nueva Jordania,P211,Desloratadina,Antihistamínico,2025-03-23,4,128.19,512.76
C00047,Natalia Ulibarri,48,Nueva Benin,P029,Loratadina,Antihistamínico,2024-08-30,1,64.05,64.05
C00048,Rafaél Velásquez Abreu,78,Nueva Bahrein,P129,Ranitidina,Antiácido,2024-12-25,4,184.31,737.24
C00049,Dr. Amelia Ocampo,44,Nueva Armenia,P470,Cefalexina,Antibiótico,2024-06-25,1,16.93,16.93
